T TP FP FN TN TPR FPR 
0 151 1111 0 0 1.000000 1.000000
1 151 1111 0 0 1.000000 1.000000
2 151 1111 0 0 1.000000 1.000000
3 151 1111 0 0 1.000000 1.000000
4 151 1111 0 0 1.000000 1.000000
5 151 1111 0 0 1.000000 1.000000
6 151 1111 0 0 1.000000 1.000000
7 151 1111 0 0 1.000000 1.000000
8 151 1111 0 0 1.000000 1.000000
9 151 1111 0 0 1.000000 1.000000
10 151 1111 0 0 1.000000 1.000000
11 151 1111 0 0 1.000000 1.000000
12 151 1111 0 0 1.000000 1.000000
13 151 1111 0 0 1.000000 1.000000
14 151 1111 0 0 1.000000 1.000000
15 151 1111 0 0 1.000000 1.000000
16 151 1111 0 0 1.000000 1.000000
17 151 1111 0 0 1.000000 1.000000
18 151 1111 0 0 1.000000 1.000000
19 151 1111 0 0 1.000000 1.000000
20 151 1111 0 0 1.000000 1.000000
21 151 1111 0 0 1.000000 1.000000
22 151 1111 0 0 1.000000 1.000000
23 151 1111 0 0 1.000000 1.000000
24 151 1111 0 0 1.000000 1.000000
25 151 1111 0 0 1.000000 1.000000
26 151 1111 0 0 1.000000 1.000000
27 151 1111 0 0 1.000000 1.000000
28 151 1111 0 0 1.000000 1.000000
29 151 1111 0 0 1.000000 1.000000
30 151 1111 0 0 1.000000 1.000000
31 151 1111 0 0 1.000000 1.000000
32 151 1111 0 0 1.000000 1.000000
33 151 1111 0 0 1.000000 1.000000
34 151 1111 0 0 1.000000 1.000000
35 151 1111 0 0 1.000000 1.000000
36 151 1111 0 0 1.000000 1.000000
37 151 1111 0 0 1.000000 1.000000
38 151 1111 0 0 1.000000 1.000000
39 151 1111 0 0 1.000000 1.000000
40 151 1111 0 0 1.000000 1.000000
41 151 1111 0 0 1.000000 1.000000
42 151 1111 0 0 1.000000 1.000000
43 151 1111 0 0 1.000000 1.000000
44 151 1111 0 0 1.000000 1.000000
45 151 1111 0 0 1.000000 1.000000
46 151 1111 0 0 1.000000 1.000000
47 151 1111 0 0 1.000000 1.000000
48 151 1111 0 0 1.000000 1.000000
49 151 1111 0 0 1.000000 1.000000
50 151 1111 0 0 1.000000 1.000000
51 151 1111 0 0 1.000000 1.000000
52 151 1111 0 0 1.000000 1.000000
53 151 1111 0 0 1.000000 1.000000
54 151 1111 0 0 1.000000 1.000000
55 151 1111 0 0 1.000000 1.000000
56 151 1111 0 0 1.000000 1.000000
57 151 1111 0 0 1.000000 1.000000
58 151 1111 0 0 1.000000 1.000000
59 151 1111 0 0 1.000000 1.000000
60 151 1111 0 0 1.000000 1.000000
61 151 1111 0 0 1.000000 1.000000
62 151 1111 0 0 1.000000 1.000000
63 151 1111 0 0 1.000000 1.000000
64 151 1111 0 0 1.000000 1.000000
65 151 1111 0 0 1.000000 1.000000
66 151 1111 0 0 1.000000 1.000000
67 151 1111 0 0 1.000000 1.000000
68 151 1111 0 0 1.000000 1.000000
69 151 1111 0 0 1.000000 1.000000
70 151 1111 0 0 1.000000 1.000000
71 151 1111 0 0 1.000000 1.000000
72 151 1111 0 0 1.000000 1.000000
73 151 1111 0 0 1.000000 1.000000
74 151 1111 0 0 1.000000 1.000000
75 151 1111 0 0 1.000000 1.000000
76 151 1111 0 0 1.000000 1.000000
77 151 1111 0 0 1.000000 1.000000
78 151 1111 0 0 1.000000 1.000000
79 151 1111 0 0 1.000000 1.000000
80 151 1111 0 0 1.000000 1.000000
81 151 1111 0 0 1.000000 1.000000
82 151 1111 0 0 1.000000 1.000000
83 151 1111 0 0 1.000000 1.000000
84 151 1111 0 0 1.000000 1.000000
85 151 1111 0 0 1.000000 1.000000
86 151 1111 0 0 1.000000 1.000000
87 151 1111 0 0 1.000000 1.000000
88 151 1111 0 0 1.000000 1.000000
89 151 1111 0 0 1.000000 1.000000
90 151 1111 0 0 1.000000 1.000000
91 151 1111 0 0 1.000000 1.000000
92 151 1111 0 0 1.000000 1.000000
93 151 1111 0 0 1.000000 1.000000
94 151 1111 0 0 1.000000 1.000000
95 151 1111 0 0 1.000000 1.000000
96 151 1111 0 0 1.000000 1.000000
97 151 1111 0 0 1.000000 1.000000
98 151 1111 0 0 1.000000 1.000000
99 151 1111 0 0 1.000000 1.000000
100 151 1111 0 0 1.000000 1.000000
101 151 1111 0 0 1.000000 1.000000
102 151 1111 0 0 1.000000 1.000000
103 151 1111 0 0 1.000000 1.000000
104 151 1111 0 0 1.000000 1.000000
105 151 1111 0 0 1.000000 1.000000
106 151 1111 0 0 1.000000 1.000000
107 151 1111 0 0 1.000000 1.000000
108 151 1111 0 0 1.000000 1.000000
109 151 1111 0 0 1.000000 1.000000
110 151 1111 0 0 1.000000 1.000000
111 151 1111 0 0 1.000000 1.000000
112 151 1111 0 0 1.000000 1.000000
113 151 1111 0 0 1.000000 1.000000
114 151 1110 0 1 1.000000 0.999100
115 151 1108 0 3 1.000000 0.997300
116 151 1108 0 3 1.000000 0.997300
117 151 1106 0 5 1.000000 0.995500
118 151 1102 0 9 1.000000 0.991899
119 151 1100 0 11 1.000000 0.990099
120 151 1098 0 13 1.000000 0.988299
121 151 1095 0 16 1.000000 0.985599
122 151 1094 0 17 1.000000 0.984698
123 151 1093 0 18 1.000000 0.983798
124 151 1092 0 19 1.000000 0.982898
125 151 1088 0 23 1.000000 0.979298
126 151 1085 0 26 1.000000 0.976598
127 151 1081 0 30 1.000000 0.972997
128 151 1077 0 34 1.000000 0.969397
129 151 1075 0 36 1.000000 0.967597
130 151 1069 0 42 1.000000 0.962196
131 151 1065 0 46 1.000000 0.958596
132 151 1057 0 54 1.000000 0.951395
133 151 1055 0 56 1.000000 0.949595
134 151 1051 0 60 1.000000 0.945995
135 151 1046 0 65 1.000000 0.941494
136 151 1039 0 72 1.000000 0.935194
137 151 1031 0 80 1.000000 0.927993
138 151 1022 0 89 1.000000 0.919892
139 151 1011 0 100 1.000000 0.909991
140 151 1005 0 106 1.000000 0.904590
141 151 996 0 115 1.000000 0.896490
142 151 988 0 123 1.000000 0.889289
143 151 981 0 130 1.000000 0.882988
144 151 967 0 144 1.000000 0.870387
145 151 955 0 156 1.000000 0.859586
146 151 944 0 167 1.000000 0.849685
147 151 928 0 183 1.000000 0.835284
148 151 920 0 191 1.000000 0.828083
149 151 909 0 202 1.000000 0.818182
150 151 893 0 218 1.000000 0.803780
151 151 870 0 241 1.000000 0.783078
152 151 849 0 262 1.000000 0.764176
153 151 832 0 279 1.000000 0.748875
154 151 812 0 299 1.000000 0.730873
155 151 791 0 320 1.000000 0.711971
156 151 765 0 346 1.000000 0.688569
157 151 746 0 365 1.000000 0.671467
158 151 720 0 391 1.000000 0.648065
159 151 693 0 418 1.000000 0.623762
160 151 673 0 438 1.000000 0.605761
161 151 652 0 459 1.000000 0.586859
162 151 639 0 472 1.000000 0.575158
163 151 621 0 490 1.000000 0.558956
164 151 611 0 500 1.000000 0.549955
165 151 594 0 517 1.000000 0.534653
166 151 581 0 530 1.000000 0.522952
167 151 564 0 547 1.000000 0.507651
168 151 554 0 557 1.000000 0.498650
169 151 543 0 568 1.000000 0.488749
170 151 536 0 575 1.000000 0.482448
171 151 520 0 591 1.000000 0.468047
172 151 509 0 602 1.000000 0.458146
173 151 494 0 617 1.000000 0.444644
174 151 482 0 629 1.000000 0.433843
175 151 469 0 642 1.000000 0.422142
176 151 452 0 659 1.000000 0.406841
177 151 440 0 671 1.000000 0.396040
178 151 423 0 688 1.000000 0.380738
179 151 406 0 705 1.000000 0.365437
180 151 385 0 726 1.000000 0.346535
181 151 370 0 741 1.000000 0.333033
182 151 352 0 759 1.000000 0.316832
183 151 339 0 772 1.000000 0.305131
184 151 320 0 791 1.000000 0.288029
185 151 306 0 805 1.000000 0.275428
186 151 293 0 818 1.000000 0.263726
187 151 283 0 828 1.000000 0.254725
188 151 270 0 841 1.000000 0.243024
189 151 253 0 858 1.000000 0.227723
190 151 229 0 882 1.000000 0.206121
191 151 216 0 895 1.000000 0.194419
192 151 202 0 909 1.000000 0.181818
193 151 190 0 921 1.000000 0.171017
194 151 181 0 930 1.000000 0.162916
195 151 172 0 939 1.000000 0.154815
196 151 160 0 951 1.000000 0.144014
197 151 149 0 962 1.000000 0.134113
198 151 141 0 970 1.000000 0.126913
199 151 133 0 978 1.000000 0.119712
200 151 125 0 986 1.000000 0.112511
201 150 116 1 995 0.993378 0.104410
202 150 110 1 1001 0.993378 0.099010
203 150 103 1 1008 0.993378 0.092709
204 149 92 2 1019 0.986755 0.082808
205 149 83 2 1028 0.986755 0.074707
206 147 77 4 1034 0.973510 0.069307
207 146 69 5 1042 0.966887 0.062106
208 145 65 6 1046 0.960265 0.058506
209 144 65 7 1046 0.953642 0.058506
210 143 58 8 1053 0.947020 0.052205
211 142 54 9 1057 0.940397 0.048605
212 142 53 9 1058 0.940397 0.047705
