T TP FP FN TN TPR FPR 
213 140 48 11 1063 0.927152 0.043204
214 139 45 12 1066 0.920530 0.040504
215 134 43 17 1068 0.887417 0.038704
216 133 43 18 1068 0.880795 0.038704
217 131 39 20 1072 0.867550 0.035104
218 127 37 24 1074 0.841060 0.033303
219 123 34 28 1077 0.814570 0.030603
220 121 32 30 1079 0.801324 0.028803
221 118 25 33 1086 0.781457 0.022502
222 115 20 36 1091 0.761589 0.018002
223 111 17 40 1094 0.735099 0.015302
224 105 15 46 1096 0.695364 0.013501
225 99 14 52 1097 0.655629 0.012601
226 99 12 52 1099 0.655629 0.010801
227 94 7 57 1104 0.622517 0.006301
228 89 7 62 1104 0.589404 0.006301
229 81 5 70 1106 0.536424 0.004500
230 75 5 76 1106 0.496689 0.004500
231 68 4 83 1107 0.450331 0.003600
232 63 4 88 1107 0.417219 0.003600
233 62 2 89 1109 0.410596 0.001800
234 53 2 98 1109 0.350993 0.001800
235 48 1 103 1110 0.317881 0.000900
236 43 0 108 1111 0.284768 0.000000
237 41 0 110 1111 0.271523 0.000000
238 39 0 112 1111 0.258278 0.000000
239 36 0 115 1111 0.238411 0.000000
240 31 0 120 1111 0.205298 0.000000
241 28 0 123 1111 0.185430 0.000000
242 24 0 127 1111 0.158940 0.000000
243 23 0 128 1111 0.152318 0.000000
244 20 0 131 1111 0.132450 0.000000
245 17 0 134 1111 0.112583 0.000000
246 14 0 137 1111 0.092715 0.000000
247 11 0 140 1111 0.072848 0.000000
248 7 0 144 1111 0.046358 0.000000
249 6 0 145 1111 0.039735 0.000000
250 5 0 146 1111 0.033113 0.000000
251 1 0 150 1111 0.006623 0.000000
252 1 0 150 1111 0.006623 0.000000
253 1 0 150 1111 0.006623 0.000000
254 1 0 150 1111 0.006623 0.000000
255 1 0 150 1111 0.006623 0.000000
